"Restaurant.Name","Address","Inspection.Fail.Count","Inspection.Pass.Count","Violation.Level1.Count","Violation.Level2.Count","Violation.Level3.Count","Violation.Pass.Count","Violation.Fail.Count","Violation.2010.Count","Violation.2011.Count","Violation.2012.Count","Violation.2013.Count","Violation.2014.Count","Violation.2015.Count","Violation.2016.Count","Violation.2017.Count","Violation.2018.Count","Violation.2019.Count","Violation.2020.Count","Price","review_count_total","review_count_anuave","year_count","ave_rating","latest_review","earliest_review","inactive_years","Yelp","Food.Inspection","lon","lat","Land_Parcel_ID","GIS_ID","Blk_ID_10","BG_ID_10","CT_ID_10"
"Cabana Grill","254 Bennington StBoston, MA 02128",16,10,156,6,31,88,105,20,32,32,16,20,22,34,14,1,2,0,"$",19,1.9,10,3.791666667,2019,2008,0,1,1,-71.0293709,42.3786127,100056000,100056000,250250509011009,250250509011,25025050901
"Great Chef Chinese Food Day Square","390 Chelsea StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",41,3.727272727,11,2.672077922,2019,2009,0,1,0,-71.0279315,42.3795164,100080000,100080000,250250509011009,250250509011,25025050901
"Great Chef","390   Chelsea ST East Boston MA 2128",34,27,305,30,64,195,204,34,56,52,54,54,48,41,32,14,8,6,"0",0,0,0,0,0,0,0,0,1,-71.02791,42.379493,100080000,100080000,250250509011009,250250509011,25025050901
"Tutti Frutti","382   Chelsea ST East Boston MA 2128",8,5,35,2,12,22,27,0,0,0,0,0,0,17,23,1,6,2,"0",0,0,0,0,0,0,0,0,1,-71.027994,42.379379,100081000,100081000,250250509011009,250250509011,25025050901
"Tipico Dominicano","382   Chelsea ST East Boston MA 2128",3,2,20,2,4,12,14,0,0,0,0,0,26,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.027994,42.379379,100081000,100081000,250250509011009,250250509011,25025050901
"Que  Padre","382   Chelsea ST East Boston MA 2128",4,4,30,2,2,17,17,0,0,20,4,10,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.027994,42.379379,100081000,100081000,250250509011009,250250509011,25025050901
"Energy Express Cafe","382   Chelsea ST East Boston MA 2128",2,2,10,0,2,6,6,4,8,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.027994,42.379379,100081000,100081000,250250509011009,250250509011,25025050901
"Fruity 'N Fresh","382   Chelsea ST East Boston MA 2128",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.027994,42.379379,100081000,100081000,250250509011009,250250509011,25025050901
"Chinese Dragon","380 Chelsea StBoston, MA 02128",19,16,198,25,72,140,155,18,27,26,34,30,46,48,18,20,22,6,"$$",82,6.833333333,12,2.842487374,2019,2008,0,1,1,-71.0281007,42.3793504,100082000,100082000,250250509011009,250250509011,25025050901
"El Palmar Restaurant","290 Bennington StBoston, MA 02128",5,2,22,4,2,11,17,0,0,0,0,0,0,2,8,0,4,14,"$",8,2.666666667,3,4.833333333,2019,2017,0,1,1,-71.0285931,42.3790268,100089000,100089000,250250509011009,250250509011,25025050901
